id,order_id,product_id,order_date,delivery_date,order_quantity,planned_quantity,shipped_quantity,remaining_quantity,status,customer_code,customer_name,delivery_location,priority,notes,created_at,updated_at
3880,ORD-20251001-V053143521,1,2025-10-01,2025-10-01,56,0,56,0,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3881,ORD-20251002-V053143521,1,2025-10-02,2025-10-02,72,0,72,0,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +72個] [追加インポート: +72個] [追加インポート: +72個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3882,ORD-20251003-V053143521,1,2025-10-03,2025-10-03,56,0,56,0,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3883,ORD-20251006-V053143521,1,2025-10-06,2025-10-06,72,0,72,0,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +72個] [追加インポート: +72個] [追加インポート: +72個]","2025-10-09 08:54:15","2025-10-09 17:43:36"
3884,ORD-20251007-V053143521,1,2025-10-07,2025-10-07,64,0,64,0,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +64個] [追加インポート: +64個] [追加インポート: +64個]","2025-10-09 08:54:15","2025-10-09 17:43:36"
3885,ORD-20251008-V053143521,1,2025-10-08,2025-10-08,56,0,56,0,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:43:36"
3886,ORD-20251009-V053143521,1,2025-10-09,2025-10-09,56,0,0,56,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3887,ORD-20251010-V053143521,1,2025-10-10,2025-10-10,72,0,0,72,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +72個] [追加インポート: +72個] [追加インポート: +72個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3888,ORD-20251014-V053143521,1,2025-10-14,2025-10-14,48,0,0,48,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +48個] [追加インポート: +48個] [追加インポート: +48個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3889,ORD-20251015-V053143521,1,2025-10-15,2025-10-15,56,0,0,56,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3890,ORD-20251016-V053143521,1,2025-10-16,2025-10-16,56,0,0,56,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-10 09:55:08"
3891,ORD-20251017-V053143521,1,2025-10-17,2025-10-17,48,0,0,48,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +48個] [追加インポート: +48個] [追加インポート: +48個]","2025-10-09 08:54:15","2025-10-10 09:55:08"
3892,ORD-20251020-V053143521,1,2025-10-20,2025-10-20,72,0,0,72,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +72個] [追加インポート: +72個] [追加インポート: +72個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3893,ORD-20251021-V053143521,1,2025-10-21,2025-10-21,72,0,0,72,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +72個] [追加インポート: +72個] [追加インポート: +72個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3894,ORD-20251022-V053143521,1,2025-10-22,2025-10-22,56,0,0,56,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3895,ORD-20251023-V053143521,1,2025-10-23,2025-10-23,72,0,0,72,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +72個] [追加インポート: +72個] [追加インポート: +72個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3896,ORD-20251024-V053143521,1,2025-10-24,2025-10-24,64,0,0,64,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +64個] [追加インポート: +64個] [追加インポート: +64個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3897,ORD-20251027-V053143521,1,2025-10-27,2025-10-27,48,0,0,48,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +48個] [追加インポート: +48個] [追加インポート: +48個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3898,ORD-20251028-V053143521,1,2025-10-28,2025-10-28,64,0,0,64,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +64個] [追加インポート: +64個] [追加インポート: +64個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3899,ORD-20251029-V053143521,1,2025-10-29,2025-10-29,56,0,0,56,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
3900,ORD-20251030-V053143521,1,2025-10-30,2025-10-30,56,0,0,56,未出荷,C036,取引先36,NULL,5,"製品コード: V053143521 (検査区分統合済み) [追加インポート: +56個] [追加インポート: +56個] [追加インポート: +56個]","2025-10-09 08:54:15","2025-10-09 17:23:33"
