id,order_id,product_id,order_date,delivery_date,order_quantity,planned_quantity,shipped_quantity,shipped_remaining_quantity,planned_progress_quantity,remaining_quantity,status,customer_code,customer_name,delivery_location,priority,notes,created_at,updated_at
4814,ORD-20251015-V053104642,4,2025-10-15,2025-10-15,48,48,48,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053104642 (数量更新: 48→48)","2025-10-13 05:46:45","2025-10-17 04:48:34"
4869,ORD-20251015-V053143521,1,2025-10-15,2025-10-15,56,56,56,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053143521 (数量更新: 56→56)","2025-10-13 05:46:45","2025-10-17 04:48:34"
4923,ORD-20251015-V053143615,2,2025-10-15,2025-10-15,57,57,57,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-17 04:48:34"
4977,ORD-20251015-V053904703,5,2025-10-15,2025-10-15,69,69,69,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053904703 (数量更新: 69→69)","2025-10-13 05:46:45","2025-10-17 04:48:34"
5033,ORD-20251015-V065103703,6,2025-10-15,2025-10-15,3,3,3,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V065103703 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-17 04:48:34"
5082,ORD-20251015-V065104642,7,2025-10-15,2025-10-15,32,32,32,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V065104642 (数量更新: 32→32)","2025-10-13 05:46:46","2025-10-17 04:48:34"
5137,ORD-20251015-V065104703,8,2025-10-15,2025-10-15,54,54,54,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V065104703 (数量更新: 54→54)","2025-10-13 05:46:46","2025-10-17 04:48:34"
5191,ORD-20251015-V053103705,3,2025-10-15,2025-10-15,0,0,0,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 0→0)","2025-10-14 22:28:57","2025-10-16 07:21:57"
4775,ORD-20251016-V053103705,3,2025-10-16,2025-10-16,3,0,3,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053103705 (数量更新: 3→3)","2025-10-13 05:46:45","2025-10-17 05:13:27"
4815,ORD-20251016-V053104642,4,2025-10-16,2025-10-16,48,0,48,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053104642 (数量更新: 48→48)","2025-10-13 05:46:45","2025-10-17 05:13:27"
4870,ORD-20251016-V053143521,1,2025-10-16,2025-10-16,56,0,56,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053143521 (数量更新: 56→56)","2025-10-13 05:46:45","2025-10-17 05:13:27"
4924,ORD-20251016-V053143615,2,2025-10-16,2025-10-16,57,0,57,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053143615 (数量更新: 57→57)","2025-10-13 05:46:45","2025-10-17 05:13:27"
4978,ORD-20251016-V053904703,5,2025-10-16,2025-10-16,45,0,45,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V053904703 (数量更新: 45→45)","2025-10-13 05:46:45","2025-10-17 05:13:27"
5034,ORD-20251016-V065103703,6,2025-10-16,2025-10-16,6,0,6,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V065103703 (数量更新: 6→6)","2025-10-13 05:46:45","2025-10-17 05:13:27"
5083,ORD-20251016-V065104642,7,2025-10-16,2025-10-16,40,0,40,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V065104642 (数量更新: 40→40)","2025-10-13 05:46:46","2025-10-17 05:13:27"
5138,ORD-20251016-V065104703,8,2025-10-16,2025-10-16,33,0,33,0,0,0,出荷完了,C036,取引先36,NULL,5,"製品コード: V065104703 (数量更新: 33→33)","2025-10-13 05:46:46","2025-10-17 05:13:27"
