積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率,重量積載率,体積積載率(%),重量積載率(%),前倒し配送
,,,,,,,,,,,
,,,,,,,,,,,
2025-10-16,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),4,32,2025-10-17,,,34.2,0,×
2025-10-16,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),5,30,2025-10-17,,,34.2,0,×
2025-10-16,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",2,16,2025-10-17,,,34.2,0,×
2025-10-16,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",2,16,2025-10-17,,,34.2,0,×
,,,,,,,,,,,
2025-10-17,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",5,15,2025-10-17,,,26,0,×
2025-10-17,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-17,,,26,0,×
2025-10-17,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",8,24,2025-10-17,,,37.5,0,×
2025-10-17,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),3,24,2025-10-20,,,18.3,0,×
2025-10-17,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),4,24,2025-10-20,,,18.3,0,×
,,,,,,,,,,,
2025-10-20,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-20,,,8.7,0,×
2025-10-20,NO_4_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",3,24,2025-10-21,,,13.3,0,×
2025-10-20,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),10,80,2025-10-21,,,96.1,0,×
2025-10-20,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),14,81,2025-10-21,,,96.1,0,×
2025-10-20,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",4,32,2025-10-21,,,96.1,0,×
2025-10-20,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",3,24,2025-10-21,,,96.1,0,×
2025-10-20,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",6,48,2025-10-21,,,96.1,0,×
,,,,,,,,,,,
2025-10-21,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",7,21,2025-10-22,,,95.2,0,○
2025-10-21,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",12,36,2025-10-21,,,95.2,0,×
